"file","start","starthr","startmin","startsec","score","rsl","validation"
"AM-403-CT_20140606_220000.wac","00:02:31.232","00",2,"31.232",60.95,34,"n"
"AM-403-CT_20140613_230000.wac","00:00:26.032","00",0,"26.032",61.34,48,"n"
"AM-403-CT_20140613_230000.wac","00:00:33.104","00",0,"33.104",64.08,50,"n"
"AM-403-CT_20140613_230000.wac","00:01:20.064","00",1,"20.064",62.54,51,"n"
"AM-403-CT_20140613_230000.wac","00:01:38.808","00",1,"38.808",62.94,51,"n"
"AM-403-CT_20140613_230000.wac","00:02:33.192","00",2,"33.192",62.06,50,"n"
"AM-403-CT_20140613_230000.wac","00:02:45.952","00",2,"45.952",61.58,50,"n"
"AM-403-CT_20140613_230000.wac","00:02:51.776","00",2,"51.776",62.46,47,"n"
"AM-403-CT_20140613_230000.wac","00:02:53.600","00",2,"53.600",62.29,46,"n"
"AM-403-CT_20140613_230000.wac","00:02:59.352","00",2,"59.352",63.18,45,"n"
"AM-403-CT_20140616_220000.wac","00:00:44.304","00",0,"44.304",66.6,45,"n"
"AM-403-CT_20140616_220000.wac","00:00:45.112","00",0,"45.112",60.4,44,"n"
"AM-403-CT_20140616_220000.wac","00:00:45.936","00",0,"45.936",67.03,50,"n"
"AM-403-CT_20140616_220000.wac","00:00:47.992","00",0,"47.992",63.59,55,"n"
"AM-403-CT_20140616_220000.wac","00:00:49.224","00",0,"49.224",66.78,57,"n"
"AM-403-CT_20140616_220000.wac","00:00:49.472","00",0,"49.472",61.26,47,"n"
"AM-403-CT_20140616_220000.wac","00:00:49.880","00",0,"49.880",62.78,55,"n"
"AM-403-CT_20140616_220000.wac","00:00:51.312","00",0,"51.312",61.58,57,"n"
"AM-403-CT_20140616_220000.wac","00:00:51.936","00",0,"51.936",60.63,57,"n"
"AM-403-CT_20140616_220000.wac","00:00:59.752","00",0,"59.752",62.13,49,"n"
"AM-403-CT_20140616_220000.wac","00:01:00.416","00",1,"00.416",60.95,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:00.888","00",1,"00.888",61.1,53,"n"
"AM-403-CT_20140616_220000.wac","00:01:04.344","00",1,"04.344",65.75,51,"n"
"AM-403-CT_20140616_220000.wac","00:01:06.744","00",1,"06.744",62.13,57,"n"
"AM-403-CT_20140616_220000.wac","00:01:08.272","00",1,"08.272",63.35,51,"n"
"AM-403-CT_20140616_220000.wac","00:01:08.912","00",1,"08.912",67.73,55,"n"
"AM-403-CT_20140616_220000.wac","00:01:09.160","00",1,"09.160",66.18,48,"n"
"AM-403-CT_20140616_220000.wac","00:01:09.592","00",1,"09.592",71.21,55,"n"
"AM-403-CT_20140616_220000.wac","00:01:11.496","00",1,"11.496",65.67,41,"n"
"AM-403-CT_20140616_220000.wac","00:01:12.576","00",1,"12.576",65.33,23,"n"
"AM-403-CT_20140616_220000.wac","00:01:15.240","00",1,"15.240",61.18,48,"n"
"AM-403-CT_20140616_220000.wac","00:01:16.240","00",1,"16.240",62.94,54,"n"
"AM-403-CT_20140616_220000.wac","00:01:16.856","00",1,"16.856",62.38,55,"n"
"AM-403-CT_20140616_220000.wac","00:01:17.312","00",1,"17.312",66.78,48,"n"
"AM-403-CT_20140616_220000.wac","00:01:25.104","00",1,"25.104",70.3,56,"n"
"AM-403-CT_20140616_220000.wac","00:01:25.736","00",1,"25.736",63.59,54,"n"
"AM-403-CT_20140616_220000.wac","00:01:26.208","00",1,"26.208",65.42,55,"n"
"AM-403-CT_20140616_220000.wac","00:01:28.720","00",1,"28.720",65.08,52,"n"
"AM-403-CT_20140616_220000.wac","00:01:29.648","00",1,"29.648",62.21,56,"n"
"AM-403-CT_20140616_220000.wac","00:01:30.408","00",1,"30.408",64.58,58,"n"
"AM-403-CT_20140616_220000.wac","00:01:30.624","00",1,"30.624",66.09,49,"n"
"AM-403-CT_20140616_220000.wac","00:01:31.224","00",1,"31.224",65.16,54,"n"
"AM-403-CT_20140616_220000.wac","00:01:32.496","00",1,"32.496",63.1,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:33.008","00",1,"33.008",61.5,57,"n"
"AM-403-CT_20140616_220000.wac","00:01:37.232","00",1,"37.232",65.58,58,"n"
"AM-403-CT_20140616_220000.wac","00:01:38.344","00",1,"38.344",63.84,53,"n"
"AM-403-CT_20140616_220000.wac","00:01:40.400","00",1,"40.400",66.26,52,"n"
"AM-403-CT_20140616_220000.wac","00:01:42.240","00",1,"42.240",63.75,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:42.720","00",1,"42.720",67.81,52,"n"
"AM-403-CT_20140616_220000.wac","00:01:44.384","00",1,"44.384",66.26,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:45.608","00",1,"45.608",60.79,58,"n"
"AM-403-CT_20140616_220000.wac","00:01:46.104","00",1,"46.104",64.58,42,"n"
"AM-403-CT_20140616_220000.wac","00:01:46.368","00",1,"46.368",68.52,47,"n"
"AM-403-CT_20140616_220000.wac","00:01:46.616","00",1,"46.616",62.21,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:47.776","00",1,"47.776",61.82,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:48.920","00",1,"48.920",64.33,47,"n"
"AM-403-CT_20140616_220000.wac","00:01:50.336","00",1,"50.336",60.48,51,"n"
"AM-403-CT_20140616_220000.wac","00:01:51.688","00",1,"51.688",61.98,42,"n"
"AM-403-CT_20140616_220000.wac","00:01:52.368","00",1,"52.368",64.91,49,"n"
"AM-403-CT_20140616_220000.wac","00:01:52.656","00",1,"52.656",60.48,41,"n"
"AM-403-CT_20140616_220000.wac","00:01:53.584","00",1,"53.584",65.5,44,"n"
"AM-403-CT_20140616_220000.wac","00:01:54.120","00",1,"54.120",62.29,48,"n"
"AM-403-CT_20140616_220000.wac","00:01:54.648","00",1,"54.648",67.55,49,"n"
"AM-403-CT_20140616_220000.wac","00:01:55.432","00",1,"55.432",61.9,45,"n"
"AM-403-CT_20140616_220000.wac","00:01:57.152","00",1,"57.152",68.78,46,"n"
"AM-403-CT_20140616_220000.wac","00:01:58.384","00",1,"58.384",63.75,43,"n"
"AM-403-CT_20140616_220000.wac","00:01:58.760","00",1,"58.760",64.08,50,"n"
"AM-403-CT_20140616_220000.wac","00:01:59.216","00",1,"59.216",63.1,52,"n"
"AM-403-CT_20140616_220000.wac","00:02:00.976","00",2,"00.976",63.02,43,"n"
"AM-403-CT_20140616_220000.wac","00:02:01.312","00",2,"01.312",62.62,46,"n"
"AM-403-CT_20140616_220000.wac","00:02:01.608","00",2,"01.608",64.17,49,"n"
"AM-403-CT_20140616_220000.wac","00:02:02.800","00",2,"02.800",60.63,47,"n"
"AM-403-CT_20140616_220000.wac","00:02:03.080","00",2,"03.080",61.42,45,"n"
"AM-403-CT_20140616_220000.wac","00:02:04.056","00",2,"04.056",60.17,48,"n"
"AM-403-CT_20140616_220000.wac","00:02:04.568","00",2,"04.568",64.75,48,"n"
"AM-403-CT_20140616_220000.wac","00:02:05.072","00",2,"05.072",64.08,42,"n"
"AM-403-CT_20140616_220000.wac","00:02:05.520","00",2,"05.520",65.67,48,"n"
"AM-403-CT_20140616_220000.wac","00:02:05.808","00",2,"05.808",62.29,46,"n"
"AM-403-CT_20140616_220000.wac","00:02:07.808","00",2,"07.808",64.08,43,"n"
