"disturbance","time","pine","wetland","Occu","OccuLower","OccuUpper"
"fire",2,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",2,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",2,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",2,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",3,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",3,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",3,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",3,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",4,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",4,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",4,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",4,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",5,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",5,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",5,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",5,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",6,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",6,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",6,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",6,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",7,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",7,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",7,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",7,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",8,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",8,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",8,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",8,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",9,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",9,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",9,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",9,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",10,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",10,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",10,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",10,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",11,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",11,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",11,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",11,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",12,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",12,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",12,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",12,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",13,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",13,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",13,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",13,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",14,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",14,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",14,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",14,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",15,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",15,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",15,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",15,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",16,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",16,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",16,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",16,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",17,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",17,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",17,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",17,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",18,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",18,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",18,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",18,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",19,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",19,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",19,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",19,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",20,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",20,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",20,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",20,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",21,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",21,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",21,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",21,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",22,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",22,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",22,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",22,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",23,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",23,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",23,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",23,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",24,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",24,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",24,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",24,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",25,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",25,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",25,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",25,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",26,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",26,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",26,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",26,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",27,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",27,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",27,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",27,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",28,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",28,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",28,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",28,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",29,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",29,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",29,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",29,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",30,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",30,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",30,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",30,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",31,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",31,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",31,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",31,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",32,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",32,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",32,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",32,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",33,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",33,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",33,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",33,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",34,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",34,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",34,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",34,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",35,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",35,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",35,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",35,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",36,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",36,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",36,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",36,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",37,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",37,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",37,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",37,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",38,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",38,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",38,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",38,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",39,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",39,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",39,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",39,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",40,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",40,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",40,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",40,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",41,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",41,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",41,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",41,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",42,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",42,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",42,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",42,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",43,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",43,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",43,0.9,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",43,0.9,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
"fire",44,0.1,0.1,0.0430701079290967,0.00973173134797053,0.170906291095156
"fire",44,0.1,0.9,0.570429716127637,0.0000180236965422285,0.999989778575303
